Bat,Rotor,Height,ResPolBat,ResPolRot,desC,operC,resC,c1,c2,c3,c_cum
2,0,80,1,1,300,-12175295.774102265,12097.46775413831,0,0,0,0
2,0,90,1,1,300,-13722536.973362884,11954.785233426885,0,0,0,0
2,0,100,1,1,300,-13968585.799450526,11790.145397151568,0,0,0,0
2,0,110,1,1,300,-13915305.973271817,11636.499693832637,0,0,1,1
2,0,120,1,1,300,-13862815.10199388,11471.834022286967,0,0,1,1
2,1,10,1,1,1300,232051647.73157904,30626.407116859446,1,1,0,1
2,1,20,1,1,1300,227047457.46868485,29691.850416360994,1,1,0,1
2,1,30,1,1,1300,7959935.559952007,28679.56414388204,1,1,0,1
2,1,40,1,1,1300,-12150200.820529787,19874.610234364045,0,0,0,0
2,1,50,1,1,1300,-12868156.568123717,19382.47214977552,0,0,0,0
2,1,60,1,1,1300,-14102052.16177801,17707.244880606024,0,0,0,0
2,1,70,1,1,1300,-14038105.959186628,17291.121648531585,0,0,0,0
2,1,80,1,1,1300,-12175295.774102265,14148.038295384293,0,0,0,0
2,1,90,1,1,1300,-13722536.973362884,14002.832337259992,0,0,0,0
2,1,100,1,1,1300,-13968585.799450526,13835.278826420827,0,0,0,0
2,1,110,1,1,1300,-13915305.973271817,13678.913664112393,0,0,1,1
2,1,120,1,1,1300,-13862815.10199388,13511.33349086926,0,0,1,1
2,2,10,1,1,2300,233251647.70474198,32635.202931300824,1,1,0,1
2,2,20,1,1,2300,229647457.46524245,31678.89017810098,1,1,0,1
2,2,30,1,1,2300,225830057.11224902,31416.39936257117,1,1,0,1
2,2,40,1,1,2300,8349799.179470213,30421.68539782266,1,1,0,1
2,2,50,1,1,2300,7631843.431876282,29381.736096210716,1,1,0,1
2,2,60,1,1,2300,5897947.83822199,18976.17164695908,1,1,0,1
2,2,70,1,1,2300,5961894.040813371,19042.811389019724,1,1,0,1
2,2,80,1,1,2300,-12175295.774102265,15521.164392185834,0,0,0,0
2,2,90,1,1,2300,-13722536.973362884,15373.434996648653,0,0,0,0
2,2,100,1,1,2300,-13968585.799450526,15202.967811245639,0,0,0,0
2,2,110,1,1,2300,-13915305.973271817,15043.883189947706,0,0,1,1
2,2,120,1,1,2300,-13862815.10199388,14873.388515007111,0,0,1,1
3,0,10,1,1,600,270001647.77157927,69601.69203445729,1,1,0,1
3,0,20,1,1,600,28549014.29439123,68157.47096321367,1,1,0,1
3,0,30,1,1,600,-13040064.440047994,66572.87046306013,0,0,0,0
3,0,40,1,1,600,-12150200.820529787,46245.616243358214,0,0,0,0
3,0,50,1,1,600,-12868156.568123717,45474.49796708537,0,0,0,0
3,0,60,1,1,600,-14102052.16177801,41339.27746371558,0,0,0,0
3,0,70,1,1,600,-14038105.959186628,40687.22718844487,0,0,0,0
3,0,80,1,1,600,-12175295.774102265,32739.49349555891,0,0,0,0
3,0,90,1,1,600,-13722536.973362884,32512.023477774856,0,0,0,0
3,0,100,1,1,600,-13968585.799450526,32249.484176154194,0,0,0,0
3,0,110,1,1,600,-13915305.973271817,32004.46465078805,0,0,1,1
3,0,120,1,1,600,-13862815.10199388,31741.87172220763,0,0,1,1
3,1,10,1,1,1600,271551647.731579,67583.09268223219,1,1,0,1
3,1,20,1,1,1600,266650790.8019072,66093.91448862808,1,1,0,1
3,1,30,1,1,1600,67959935.559952,65256.03784988465,1,1,0,1
3,1,40,1,1,1600,-12150200.820529787,47047.00702073023,0,0,0,0
3,1,50,1,1,1600,-12868156.568123717,46267.33106986585,0,0,0,0
3,1,60,1,1,1600,-14102052.16177801,41567.40423006863,0,0,0,0
3,1,70,1,1,1600,-14038105.959186628,41398.116928933014,0,0,0,0
3,1,80,1,1,1600,-12175295.774102265,33304.50848124934,0,0,0,0
3,1,90,1,1,1600,-13722536.973362884,33074.51502605241,0,0,0,0
3,1,100,1,1,1600,-13968585.799450526,32809.0620498679,0,0,0,0
3,1,110,1,1,1600,-13915305.973271817,32561.323065512253,0,0,1,1
3,1,120,1,1,1600,-13862815.10199388,32295.815635234365,0,0,1,1
3,2,10,1,1,2600,273251647.70474195,69359.96683000692,1,1,0,1
